LP,Year,State,Cost Center,DNT,VIN #,Unit #,Color,Make,Model,Start Date,End Date
PMG6978,2020,OH,5915,3301170151,3N6CM0KNXLK694409,20208,BLACK,NISSAN,NV CARGO NV1500,01/01/2021,-
PMJ9025,2021,TX,Unassigned,03063396,3N6CM0KN5MK700862,C21165,WHITE,NISSAN,NV200,01/01/2021,-
PMJ9028,2021,TX,C21163,03063399,3N6CM0KN9MK696881,C21163,BLACK,NISSAN,NV200,01/01/2021,-
PMJ9032,2021,TX,Unassigned,02805939,3N6CM0KN1MK701930,C21164,BLACK,NISSAN,NV200,01/01/2021,-
PMJ9042,2020,TX,Unassigned,03063717,3N6CM0KN1LK711131,C21166,WHITE,NISSAN,NV200,01/01/2021,-
PMJ9043,2021,TX,5856,3301163821,3N6CM0KN8MK701374,C21162,BLACK,NISSAN,NV200,01/01/2021,-
PMR1615,2021,TX,Unassigned,12032892,WVGDMPE21MP014409,99002,WHITE,VOLKSWAGEN,ID.4,01/01/2021,-
PNK0823,2021,TX,9099,02809699,3N6CM0KN4MK698523,C21076,BLACK,NISSAN,NV200,01/01/2021,-
PNK1366,2021,TX,5889,-,3N6CM0KN3MK700004,C21091,BLACK,NISSAN,NV200,01/01/2021,-
PNK1367,2021,TX,5853,3301188703,3N6CM0KN9MK699912,C21082,BLACK,NISSAN,NV200,01/01/2021,-
PNK1368,2021,TX,5899,3301188706,3N6CM0KN1MK699967,C21081,WHITE,NISSAN,NV200,01/01/2021,-
PNK1371,2021,TX,5937,15652097,3N6CM0KN6MK699964,C21079,BLACK,NISSAN,NV200,01/01/2021,-
PNK1372,2021,TX,5889,-,3N6CM0KN2MK699881,C21080,WHITE,NISSAN,NV200,01/01/2021,-
PNK1373,2021,TX,5801,12192157,3N6CM0KN6MK699852,C21084,BLACK,NISSAN,NV200,01/01/2021,-
PNK1374,2021,TX,5835,3301188695,3N6CM0KN8MK699870,C21078,BLACK,NISSAN,NV200,01/01/2021,-
PNK1884,2021,TX,9099,02809696,3N6CM0KN4MK699980,C21109,BLACK,NISSAN,NV200,01/01/2021,-
PNK1887,2021,NC,5852,3301188693,3N6CM0KN2MK700043,C21111,WHITE,NISSAN,NV200,01/01/2021,-
PNK1888,2021,TX,5845,10300038841171,3N6CM0KN6MK700045,C21110,BLACK,NISSAN,NV200,01/01/2021,-
PNK1890,2021,TX,5852,-,3N6CM0KN8MK702699,C21148,BLACK,NISSAN,NV200,01/01/2021,-
PNK1891,2021,TX,5849,-,3N6CM0KN7MK702726,C21146,WHITE,NISSAN,NV200,01/01/2021,-
PNK2099,2021,TX,5926,-,3N6CM0KN5MK702708,C21121,WHITE,NISSAN,NV200,01/01/2021,-
PNK2178,2021,TX,5884,-,3N6CM0KN2MK700091,C21098,WHITE,NISSAN,NV200,01/01/2021,-
PNK2182,2021,TX,5903,G503100917403,3N6CM0KN4MK700075,C21096,WHITE,NISSAN,NV200,01/01/2021,-
PNK2183,2021,TX,5845,10300036116873,3N6CM0KN0MK700011,C21097,WHITE,NISSAN,NV200,01/01/2021,-
PNK2186,2021,TX,5868,3301188692,3N6CM0KN0MK699989,C21095,WHITE,NISSAN,NV200,01/01/2021,-
PNK2225,2021,TX,9099,02809695,3N6CM0KN8MK700046,C21106,WHITE,NISSAN,NV200,01/01/2021,-
PNK2300,2021,TX,9099,02805966,3N6CM0KN9MK700072,C21112,WHITE,NISSAN,NV200,01/01/2021,-
PNK2301,2021,TX,5888,-,3N6CM0KN3MK700066,C21113,BLACK,NISSAN,NV200,01/01/2021,-
PNK2302,2021,TX,5894,02805940,3N6CM0KN5MK702689,C21129,BLACK,NISSAN,NV200,01/01/2021,-
PNK2303,2021,TX,5907,03301163834,3N6CM0KN2MK702858,C21125,WHITE,NISSAN,NV200,01/01/2021,-
PNK2304,2021,TX,5846,G503100917404,3N6CM0KN5MK702742,C21126,WHITE,NISSAN,NV200,01/01/2021,-
PNK2323,2021,TX,5858,-,3N6CM0KN9MK702680,C21142,WHITE,NISSAN,NV200,01/01/2021,-
PNK2324,2021,TX,5856,3301163809,3N6CM0KN1MK702768,C21145,WHITE,NISSAN,NV200,01/01/2021,-
PNK2376,2021,TX,5913,G503100917416,3N6CM0KN8MK700063,C21090,WHITE,NISSAN,NV200,01/01/2021,-
PNK2380,2021,TX,5835,-,3N6CM0KN6MK702670,C21131,WHITE,NISSAN,NV200,01/01/2021,-
PNK2400,2021,TX,5839,12959276,3N6CM0KN0MK700025,C21094,WHITE,NISSAN,NV200,01/01/2021,-
PNK2401,2021,TX,5846,G503100917405,3N6CM0KN0MK699961,C21086,BLACK,NISSAN,NV200,01/01/2021,-
PNK2402,2021,TX,5853,3301188689,3N6CM0KN6MK699978,C21093,BLACK,NISSAN,NV200,01/01/2021,-
PNK2403,2021,TX,5872,3301188696,3N6CM0KN7MK699889,C21085,BLACK,NISSAN,NV200,01/01/2021,-
PNK2404,2021,TX,5884,-,3N6CM0KN7MK700037,C21092,WHITE,NISSAN,NV200,01/01/2021,-
PNK2405,2021,TX,5845,10300038840975,3N6CM0KN2MK700012,C21104,BLACK,NISSAN,NV200,01/01/2021,-
PNK2406,2021,TX,5899,3301188686,3N6CM0KN4MK700061,C21107,BLACK,NISSAN,NV200,01/01/2021,-
PNK2407,2021,TX,5862,12192160,3N6CM0KN4MK700190,C21116,WHITE,NISSAN,NV200,01/01/2021,-
PNK2408,2021,TX,5893,12032913,3N6CM0KN1MK700079,C21102,BLACK,NISSAN,NV200,01/01/2021,-
PNK2410,2021,TX,5839,12192158,3N6CM0KN5MK699986,C21101,BLACK,NISSAN,NV200,01/01/2021,-
PNK2412,2021,TX,5842,-,3N6CM0KN5MK700005,C21100,WHITE,NISSAN,NV200,01/01/2021,-
PNK2413,2021,TX,5835,3301188691,3N6CM0KN8MK700015,C21099,WHITE,NISSAN,NV200,01/01/2021,-
PNK2414,2021,TX,5894,12032928,3N6CM0KN5MK700022,C21103,WHITE,NISSAN,NV200,01/01/2021,-
PNK2415,2021,TX,5844,10300038840470,3N6CM0KN2MK700057,C21105,WHITE,NISSAN,NV200,01/01/2021,-
PNK2416,2021,TX,5837,12192162,3N6CM0KN0MK700042,C21108,BLACK,NISSAN,NV200,01/01/2021,-
PNK2417,2021,TX,5825,3301163787,3N6CM0KN1MK700017,C21114,WHITE,NISSAN,NV200,01/01/2021,-
PNK2425,2021,TX,9099,02805968,3N6CM0KN0MK702745,C21123,WHITE,NISSAN,NV200,01/01/2021,-
PNK2426,2021,TX,9099,02809694,3N6CM0KNXMK702669,C21122,BLACK,NISSAN,NV200,01/01/2021,-
PNK2429,2021,TX,5888,-,3N6CM0KN2MK702701,C21141,WHITE,NISSAN,NV200,01/01/2021,-
PNK2431,2021,TX,9099,02809697,3N6CM0KN3MK702674,C21119,WHITE,NISSAN,NV200,01/01/2021,-
PNK2432,2021,TX,5926,10300038840272,3N6CM0KN8MK700077,C21115,WHITE,NISSAN,NV200,01/01/2021,-
PNK2434,2021,TX,9099,03063724,3N6CM0KN1MK702916,C21137,BLACK,NISSAN,NV200,01/01/2021,-
PNK2434,2021,CA,5850,10300036594475,3N6CM0KN1MK702916,C21137,WHITE,NV200,NISSAN,01/24/2022,-
PNK2525,2021,TX,9099,02805961,3N6CM0KNXMK702767,C21134,WHITE,NISSAN,NV200,01/01/2021,-
PNK2535,2021,TX,5936,-,3N6CM0KN4MK702781,C21132,BLACK,NISSAN,NV200,01/01/2021,-
PNK2536,2021,TX,9099,02805957,3N6CM0KN3MK702707,C21136,WHITE,NISSAN,NV200,01/01/2021,-
PNK2537,2021,TX,9099,03063723,3N6CM0KN4MK702683,C21135,BLACK,NISSAN,NV200,01/01/2021,-
PNK2538,2021,TX,9099,02805962,3N6CM0KN6MK702717,C21118,BLACK,NISSAN,NV200,01/01/2021,-
PNK2539,2021,TX,5865,-,3N6CM0KN1MK702737,C21147,WHITE,NISSAN,NV200,01/01/2021,-
PNK3078,2021,TX,5856,-,3N6CM0KN9MK702677,C21127,BLACK,NISSAN,NV200,01/01/2021,-
PNK3079,2021,TX,9099,03063720,3N6CM0KN7MK702709,C21143,WHITE,NISSAN,NV200,01/01/2021,-
PNK3081,2021,TX,5829,10300038840587,3N6CM0KNXMK692922,P21074,BLACK,NISSAN,NV200,01/01/2021,-
PNK3082,2021,TX,5853,03063711,3N6CM0KNXMK691706,P21069,WHITE,NISSAN,NV200,01/01/2021,-
PPK4579,2021,TX,5856,-,3N6CM0KNXMK702784,C21151,WHITE,NISSAN,NV200,01/01/2021,-
PPK4580,2021,TX,5854,-,3N6CM0KN6MK702734,C21150,WHITE,NISSAN,NV200,01/01/2021,-
PPK4581,2021,TX,5921,-,3N6CM0KN5MK702692,C21149,WHITE,NISSAN,NV200,01/01/2021,-
PPK4583,2021,TX,5878,5792507,3N6CM0KN9MK702694,C21144,BLACK,NISSAN,NV200,01/01/2021,-
PPK4584,2021,TX,5839,03063398,3N6CM0KN8MK702850,C21140,WHITE,NISSAN,NV200,01/01/2021,-
PPK4585,2021,TX,9099,03260154,3N6CM0KN4MK702666,C21139,WHITE,NISSAN,NV200,01/01/2021,-
PPK4586,2021,TX,5850,10300036594418,3N6CM0KN6MK702667,C21138,BLACK,NISSAN,NV200,01/01/2021,-
PPK4594,2021,TX,5856,3301163829,3N6CM0KN8MK702752,C21133,WHITE,NISSAN,NV200,01/01/2021,-
PPK4595,2021,TX,5870,G503100917402,3N6CM0KN2MK702729,C21130,BLACK,NISSAN,NV200,01/01/2021,-
PPK4596,2021,TX,5855,3301163801,3N6CM0KN2MK702908,C21128,BLACK,NISSAN,NV200,01/01/2021,-
PPK4597,2021,TX,9099,02805958,3N6CM0KN5MK702868,C21124,BLACK,NISSAN,NV200,01/01/2021,-
PPK4598,2021,TX,5849,-,3N6CM0KN1MK702673,C21120,WHITE,NISSAN,NV200,01/01/2021,-
PPK4599,2021,TX,5838,03348763,3N6CM0KN9MK702730,C21117,BLACK,NISSAN,NV200,01/01/2021,-
PPK4684,2021,TX,5917,5694959,3N6CM0KN2MK694969,P21075,WHITE,NISSAN,NV200,01/01/2021,-
PPK4685,2021,TX,5838,12032900,3N6CM0KN5MK690933,P21071,BLACK,NISSAN,NV200,01/01/2021,-
PPK9622,2021,TX,5899,3301188694,3N6CM0KN9MK699909,C21077,WHITE,NISSAN,NV200,01/01/2021,-
PPK9623,2021,TX,5876,-,3N6CM0KNXMK699854,C21083,WHITE,NISSAN,NV200,01/01/2021,-
PPK9624,2021,TX,5871,-,3N6CM0KN8MK702685,C21152,BLACK,NISSAN,NV200,01/01/2021,-
PPK9672,2021,TX,5911,-,3N6CM0KN0MK700073,C21087,BLACK,NISSAN,NV200,01/01/2021,-
PPK9688,2021,TX,5838,03063709,3N6CM0KN5MK702711,C21155,WHITE,NISSAN,NV200,01/01/2021,-
PPK9689,2021,TX,9099,G503100917417,3N6CM0KN7MK702757,C21154,BLACK,NISSAN,NV200,01/01/2021,-
PRV1999,2021,TX,9099,02805960,3N6CM0KN3MK702738,C21153,BLACK,NISSAN,NV200,01/01/2021,-
PRV2588,2021,TX,5828,10300036116071,3N6CM0KN6MK692321,P21020,BLACK,NISSAN,NV200,01/01/2021,-
PSG2321,2021,TX,5909,3301188705,3GNAXHEV0MS166043,P21083,WHITE,CHEVROLET,EQUINOX,01/01/2021,-
PSN3912,2021,TX,9060,12192166,3GNAXHEV8MS163438,99003,WHITE,CHEVROLET,EQUINOX,01/01/2021,-
PST3916,2021,TX,C21168,03063395,3N6CM0KN2MK701693,C21168,BLACK,NISSAN,NV200,01/01/2021,-
PTZ3044,2021,TX,9099,02805942,3N6CM0KN9MK706440,C21178,WHITE,NISSAN,NV200,01/01/2021,-
PTZ3045,2021,TX,5827,-,3N6CM0KN4MK706300,P21090,BLACK,NISSAN,NV200,01/01/2021,-
PTZ3046,2021,TX,5828,-,3N6CM0KN9MK706454,P21086,BLACK,NISSAN,NV200,01/01/2021,-
PTZ3047,2021,TX,5939,-,3N6CM0KN1MK706285,P21088,WHITE,NISSAN,NV200,01/01/2021,-
PTZ3048,2021,TX,5826,-,3N6CM0KNXMK706284,P21087,BLACK,NISSAN,NV200,01/01/2021,-
PTZ3049,2021,TX,5801,02805921,3N6CM0KN7MK706341,P21091,WHITE,NISSAN,NV200,01/01/2021,-
PWG4747,2021,TX,5839,DFW. 03226075,1GCWGAFP3M1264961,G21116,BLUE,EXPRESS 2500,CHEVROLET,02/02/2022,-
PWL9355,2022,TX,5928,03063715,KL4MMBS21NB013457,M21068,BLACK,BUICK,ENCORE GX,01/01/2021,-
PXH7931,2021,TX,9099,12192163,5N1AZ2CJ9MC105520,M21065,BLACK,NISSAN,MURANO,01/01/2021,-
PYN1961,2021,TX,9099,12192164,3GCPYFEDXMG432098,M21066,BLACK,CHEVROLET,SILVERADO 1500,01/01/2021,-
QMSY13,2018,FL,5864,03063370,3N6CM0KN9JK697881,1071,BLACK,NISSAN,NV200,01/01/2021,-
QMSY14,2020,FL,5886,3301170176,3N6CM0KN0LK692264,1402,BLACK,NISSAN,NV200,01/01/2021,-
QMWF22,2021,FL,5807,3301163785,3N6CM0KN1MK692159,P21007,BLACK,NISSAN,NV200,01/01/2021,-
QMWW78,2021,FL,5841,3301163783,3N6CM0KN6MK694957,P21022,BLACK,NISSAN,NV200,01/01/2021,-
QMWZ96,2021,FL,5864,3301163781,3N6CM0KN0MK691925,P21008,WHITE,NISSAN,NV200,01/01/2021,-
QMYG62,2019,FL,5864,03063710,3N6CM0KN6KK708563,1401,WHITE,NISSAN,NV200,01/01/2021,-
RDT7345,2020,TX,5856,3301163808,3N6CM0KN3LK711146,C21167,WHITE,NISSAN,NV200,01/01/2021,-
RDT7346,2021,TX,Unassigned,-,3N6CM0KN1MK697071,C21161,WHITE,NISSAN,NV200,01/01/2021,-
RFH6574,2021,TX,5848,10300038841189,3N6CM0KN7MK706405,C21177,BLACK,NISSAN,NV200,01/01/2021,-
RFH6971,2021,TX,C21172,03063397,ZFBHRFABXM6U54810,C21172,WHITE,RAM,PROMASTER CITY,01/01/2021,-
RFH7178,2021,TX,5941,-,ZFBHRFAB6M6U54786,C21171,WHITE,RAM,PROMASTER CITY,01/01/2021,-
RFH7179,2021,TX,5889,03063718,ZFBHRFAB1M6U55814,C21170,WHITE,RAM,PROMASTER CITY,01/01/2021,-
RFH7180,2021,TX,C21173,03063393,ZFBHRFABXM6U55844,C21173,BLACK,RAM,PROMASTER CITY,01/01/2021,-
RFH7184,2021,TX,Unassigned,03063394,ZFBHRFAB6M6U53962,C21174,WHITE,RAM,PROMASTER CITY,01/01/2021,-
RFY4825,2021,TX,9099,03063714,3N6CM0KN2MK706358,-,WHITE,NISSAN,NV200,01/01/2021,-
RFY5178,2021,TX,5857,02805941,3N6CM0KNXMK706432,C21175,BLACK,NISSAN,NV200,01/01/2021,-
RFY5496,2021,TX,5802,02805928,3N6CM0KN1MK706514,P21096,BLACK,NISSAN,NV200,01/01/2021,-
RFY5497,2021,TX,5832,10300036594509,3N6CM0KN7MK706548,P21095,BLACK,NISSAN,NV200,01/01/2021,-
RFY5498,2021,TX,5812,5792502,3N6CM0KN9MK706549,P21094,BLACK,NISSAN,NV200,01/01/2021,-
RFY5499,2021,TX,5818,3301163786,3N6CM0KN4MK706491,P21097,BLACK,NISSAN,NV200,01/01/2021,-
RFY5728,2021,TX,Unassigned,03063391,ZFBHRFAB6M6U54772,C21169,BLACK,RAM,PROMASTER CITY,01/01/2021,-
RFY5875,2021,TX,5803,01594798,3N6CM0KN3MK706563,P21093,WHITE,NISSAN,NV200,01/01/2021,-
RFY5876,2021,TX,5937,-,3N6CM0KN0MK706567,P21092,WHITE,NISSAN,NV200,01/01/2021,-
RFZ1223,2021,TX,Unassigned,5694960,ZFBHRFAB5M6V39179,P21112,BLACK,RAM,PROMASTER CITY,01/01/2021,-
RFZ1236,2021,TX,5801,DFW. 03226072,ZFBHRFAB8M6V39242,P21116,WHITE,PROMASTER CITY,RAM,01/27/2022,-
RFZ1237,2021,TX,5887,03301163794,ZFBHRFAB8M6V39189,P21113,WHITE,RAM,PROMASTER CITY,01/27/2022,-
RHH2728,2021,TX,5880,3301163810,ZFBHRFAB6M6V29325,P21099,BLACK,RAM,PROMASTER CITY,01/01/2021,-
RHH2729,2021,TX,5880,3301163806,ZFBHRFAB1M6V32634,P21098,WHITE,RAM,PROMASTER CITY,01/01/2021,-
RHT4733,2021,TX,5825,G503100917415,ZFBHRFAB0M6V31068,,WHITE,RAM,ProMaster City,02/12/2022,-
RHT4733,2021,TX,5801,DFW . 03226071,ZFBHRFAB0M6V31068,P21104,WHITE,RAM,PROMASTER CITY,01/17/2022,-
RSN7532,2017,GA,5818,3301163826,3N6CM0KN5HK721815,1004,WHITE,NISSAN,NV200,01/01/2021,-
RSN7894,2019,GA,5818,3301170124,3N6CM0KN4KK709338,1801,WHITE,NISSAN,NV200,01/01/2021,-
RTN5678,2020,GA,5818,3301170126,3N6CM0KNXLK691333,1804,WHITE,NISSAN,NV200,01/01/2021,-
RUH6380,2018,GA,5934,-,3N6CM0KN2JK693638,1069AC,WHITE,NISSAN,NV200,01/01/2021,-
RUI9546,2020,GA,5818,3301170125,JN8AT2MTXLW007460,1803,BLACK,NISSAN,ROGUE,01/01/2021,-
RVH5501,2020,GA,5863,03063371,3N6CM0KN0LK693480,1806,BLACK,NISSAN,NV200,01/01/2021,-
RYL7119,2018,GA,5818,3301170159,1N6BF0KM6JN800519,1059,BLACK,NISSAN,NV CARGO NV1500,01/01/2021,-
RZK5724,2020,GA,5818,3301170111,3N6CM0KN1LK694766,1015,WHITE,NISSAN,NV200,01/01/2021,-
RZK5725,2020,GA,5818,3301170130,3N6CM0KN8LK700966,7902,BLACK,NISSAN,NV200,01/01/2021,-
RZR3712,2021,GA,5818,-,3N6CM0KN6MK691699,P21006,BLACK,NISSAN,NV200,01/01/2021,-
SD6316,2022,WI,5911,-,1N6ED1EK7NN610575,M22001,WHITE,NISSAN,FRONTIER,01/01/2021,-
TCV1753,2019,GA,9099,-,1N6AD0ER7KN710578,401,WHITE,NISSAN,FRONTIER,01/01/2021,-
TEMP_A04585,2015,TX,5893,12032907,1FTNE1ZM6FKA04585,1022,BLACK,FORD,TRANSIT-150,01/01/2021,-
TEMP_B34114,2016,TX,5801,12032902,ZFBERFAT8G6B34114,1017,WHITE,RAM,PROMASTER CITY,01/01/2021,-
TEMP_K695300,2021,FL,5887,-,3N6CM0KN2MK695300,P21062,WHITE,NISSAN,NV200,01/01/2021,-
TEMP_K695710,2016,TX,5839,12032909,3N6CM0KN4GK695710,1027,WHITE,NISSAN,NV200,01/01/2021,-
TEMP_K695968,2015,TX,5862,12032919,3N6CM0KN1FK695968,1048,BLACK,NISSAN,NV CARGO NV2500 HD,01/01/2021,-
TEMP_K697929,2016,TX,5839,12032906,3N6CM0KNXGK697929,1021AC,WHITE,NISSAN,NV200,01/01/2021,-
TEMP_K700274,2014,TX,5803,12032908,3N6CM0KN8EK700274,1024,BLACK,NISSAN,NV CARGO NV2500 HD,01/01/2021,-
TEMP_K701412,2015,TX,5839,12032918,3N6CM0KN8FK701412,1044,BLACK,NISSAN,NV CARGO NV2500 HD,01/01/2021,-
TEMP_K701733,2014,TX,5803,13655738,3N6CM0KN8EK701733,1072,WHITE,NISSAN,NV200,01/01/2021,-
TEMP_K706445,2021,TX,5828,-,3N6CM0KN8MK706445,C21176,WHITE,NISSAN,NV200,01/01/2021,-
TEMP_K707401,2017,TX,5801,12032903,3N6CM0KN1HK707401,1018,BLACK,NISSAN,NV200,01/01/2021,-
TEMP_N1134664,2022,TX,G21267,-,1GCGSCEA9N1134664,G21267,BLACK,CHEVROLET,COLORADO,01/01/2021,-
TEMP_V29008,2021,TX,P21103,-,ZFBHRFAB5M6V29008,P21103,WHITE,RAM,PROMASTER CITY,01/01/2021,-
TEMP_V31672,2021,TX,P21102,-,ZFBHRFAB4M6V31672,P21102,BLACK,RAM,PROMASTER CITY,01/01/2021,-
TEMP_Y331565,2021,TX,5894,-,3N1AB8CV9MY331565,C21300,WHITE,NISSAN,SENTRA,01/01/2021,-
TK183OEN,2020,IN,5916,-,3N6CM0KN3LK694848,1019,WHITE,NISSAN,NV200,01/01/2021,-
TK816NZE,2020,IN,5916,3301170142,3N6CM0KNXLK709538,P20031,BLACK,NISSAN,NV200,01/01/2021,-
TKQ164,2020,SC,5876,-,3N6CM0KN6LK696299,2006,BLACK,NISSAN,NV200,01/01/2021,-
UAT5214,2021,VA,5825,-,JN8AT3BA9MW013100,M21067,BLACK,NISSAN,ROGUE,01/01/2021,-
UB19034,2020,VA,5825,3301170158,1N6BF0KM4LN802045,112,WHITE,NISSAN,NV CARGO NV1500,01/01/2021,-
UCH845,2021,SC,5852,3301163782,3N6CM0KN3MK695256,P21015,BLACK,NISSAN,NV200,01/01/2021,-
UDR791,2021,SC,5846,G503100917406,3N6CM0KN3MK694849,P21018,WHITE,NISSAN,NV200,01/01/2021,-
UDY9368,2018,VA,5825,3301163774,3N6CM0KN0JK697882,1079,BLACK,NISSAN,NV200,01/01/2021,-
UEF5557,2021,VA,5899,3301163784,3N6CM0KN6MK690598,P21061,BLACK,NISSAN,NV200,01/01/2021,-
UHC9462,2020,VA,5823,G503100917411,KNMAT2MVXLP543252,P20020,WHITE,NISSAN,ROGUE,01/01/2021,-
UIY887,2021,SC,5937,-,3GNAXHEV9MS149998,P21079,BLACK,CHEVROLET,EQUINOX,01/01/2021,-
UJP8667,2020,VA,9713,G503100917414,KNMAT2MV1LP524279,1301,BLACK,NISSAN,ROGUE,01/01/2021,-
ULP7614,2020,VA,5825,3301170171,3N6CM0KN4LK693658,2505,WHITE,NISSAN,NV200,01/01/2021,-
ULT3578,2019,VA,5823,G503100917412,3N6CM0KNXKK705634,2509,BLACK,NISSAN,NV200,01/01/2021,-
UMH8707,2018,VA,5825,3301170168,KNMAT2MV4JP591536,2502,WHITE,NISSAN,ROGUE,01/01/2021,-
UMN7251,2019,VA,5823,G503100917409,3N6CM0KN8KK708662,2503,WHITE,NISSAN,NV200,01/01/2021,-
UMS4968,2017,VA,5825,3301163773,3N6CM0KN4HK714029,1066,BLACK,NISSAN,NV200,01/01/2021,-
UUG400,2021,SC,5854,-,3N6CM0KN4MK700030,C21088,BLACK,NISSAN,NV200,01/01/2021,-
UUG401,2021,SC,5877,-,3N6CM0KN6MK700014,C21089,WHITE,NISSAN,NV200,01/01/2021,-
UWW7092,2018,VA,5825,3301170165,3N6CM0KN4JK697819,1087,BLACK,NISSAN,NV200,01/01/2021,-
UWW7095,2018,VA,5825,3301170164,3N6CM0KN8JK697726,1083,BLACK,NISSAN,NV200,01/01/2021,-
UXL2254,2017,PA,5870,G503100917398,3N6CM0KN0HK694250,1064,WHITE,NISSAN,NV200,01/01/2021,-
UXL2255,2017,VA,5825,3301170163,3N6CM0KN3HK714183,1065AC,WHITE,NISSAN,NV200,01/01/2021,-
V39223,2021,TX,5894,02110965,ZFBHRFAB4M6V39223,C21193,WHITE,PROMASTER CITY,RAM,02/23/2022,-
WFA7DB,2021,AZ,5914,-,3N6CM0KNXMK693794,P21011,WHITE,NISSAN,NV200,01/01/2021,-
XJZU72,2020,NJ,5856,3301170157,3N6CM0KN3LK696521,2004,BLACK,NISSAN,NV200,01/01/2021,-
ZSP7018,2021,PA,5870,G503100917399,3N6CM0KNXMK694962,P21012,WHITE,NISSAN,NV200,01/01/2021,-
ZSP7021,2021,PA,5870,G503100917401,3N6CM0KN7MK693056,P21017,WHITE,NISSAN,NV200,01/01/2021,-
