LP,Year,State,Cost Center,DNT,VIN #,Unit #,Color,Make,Model,Start Date,End Date
84303U2,2019,CA,5859,-,3N6CM0KN4KK705032,2907,BLACK,NISSAN,NV200,01/01/2021,-
84924D3,2021,CA,5828,10300036115503,3N6CM0KN1MK694638,P21059,WHITE,NISSAN,NV200,01/01/2021,-
8HUE160,2019,CA,5848,10300035679780,JTDKDTB3XK1623225,3301,BLACK,TOYOTA,PRIUS C,01/01/2021,-
8LJB163,2019,CA,5826,10300035679590,KNMAT2MT1KP548787,2901,WHITE,NISSAN,ROGUE,01/01/2021,-
8LJB181,2019,CA,5827,10300035679566,KNMAT2MT8KP548981,2701,WHITE,NISSAN,ROGUE,01/01/2021,-
8LJB193,2019,CA,5830,10300035679632,KNMAT2MT9KP549234,2905,WHITE,NISSAN,ROGUE,01/01/2021,-
8RUN075,2020,CA,5828,10300035679582,KNMAT2MT7LP524804,2801,WHITE,NISSAN,ROGUE,01/01/2021,-
8UIK689,2019,CA,5826,10300036030496,3N1AB7APXKY423831,3305,WHITE,NISSAN,SENTRA,01/01/2021,-
8VYE534,2021,CA,5940,-,1GNERFKW8MJ194610,99007,WHITE,CHEVROLET,TRAVERSE,01/01/2021,-
8WMF754,2021,CA,5829,10300036114704,JN8AT3BA9MW012190,P21080,BLACK,NISSAN,ROGUE,01/01/2021,-
8YYY138,2021,CA,5850,-,5N1AT3BB2MC761804,5850,WHITE,NISSAN,ROGUE,01/01/2021,-
90BLGI,2020,NC,5807,3301170170,1N6BF0KM7LN810673,P20029,BLACK,NISSAN,NV CARGO NV1500,01/01/2021,-
94166F3,2021,CA,5848,10300036116279,3N6CM0KN4MK692222,P21021,WHITE,NISSAN,NV200,01/01/2021,-
94180F3,2021,CA,5830,-,3N6CM0KN7MK692571,P21060,BLACK,NISSAN,NV200,01/01/2021,-
94548A3,2020,CA,5830,10300036030488,3N6CM0KN8LK700515,7901,WHITE,NISSAN,NV200,01/01/2021,-
94AAGJ,2021,FL,5806,3301188700,2GNAXHEV1M6148018,P21043,BLACK,CHEVROLET,EQUINOX,01/01/2021,-
9EL1469,2020,MD,5825,3301170129,3N6CM0KN0LK710732,P20030,BLACK,NISSAN,NV200,01/01/2021,-
A24NJR,2021,NJ,5856,03063368,3N6CM0KN5MK695260,P21016,WHITE,NISSAN,NV200,01/01/2021,-
ATA404,2020,KY,5910,3301170135,1N6BF0KM4LN808640,P20014,BLACK,NISSAN,NV CARGO NV1500,01/01/2021,-
AYSL98,2021,NM,5891,-,3N6CM0KN1MK694543,P21058,BLACK,NISSAN,NV200,01/01/2021,-
BAVG88,2020,CO,9713,5667381,JN8AT2MV1LW113992,1201,BLACK,NISSAN,ROGUE,01/01/2021,-
